CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
30545,NO23NE 32,Keillor,Pictish Symbol Stone (Pictish),327331,739760,PERTH AND KINROSS,ANGUS,KETTINS,NO 27331 39760,http://canmore.org.uk/site/30545
31864,NO33NE 2,"Balluderon, 'st Martins Stone'","Cross Slab (Pictish), Pictish Symbol Stone (Pictish)",337480,737580,ANGUS,ANGUS,TEALING,NO 3748 3758,http://canmore.org.uk/site/31864
31866,NO33NE 21,Strathmartine,Pictish Symbol Stone (Pictish),337400,736100,ANGUS,ANGUS,MAINS AND STRATHMARTINE (ANGUS),NO 374 361,http://canmore.org.uk/site/31866
33868,NO45SW 4,"Cossans, 'st Orland's Stone'","Cist (Period Unknown)(Possible), Cross Slab (Pictish), Grave(S) (Period Unknown)(Possible), Pictish Symbol Stone (Pictish), Coin(S) (17th Century)",340083,750019,ANGUS,ANGUS,GLAMIS,NO 40083 50019,http://canmore.org.uk/site/33868
34806,NO55NW 26,Aberlemno 2,"Cross Slab (Pictish), Pictish Symbol Stone (Pictish)",352238,755559,ANGUS,ANGUS,ABERLEMNO,NO 52238 55559,http://canmore.org.uk/site/34806
35863,NO65SW 7,"Kinnell Parish Church, Pictish Symbol Stones","Carved Stone (Early Medieval), Church (Medieval), Cross Slab (Early Medieval), Pictish Symbol Stone (Pictish)",360880,750280,ANGUS,ANGUS,KINNELL,NO 6088 5028,http://canmore.org.uk/site/35863
73071,NO23SE 41,"Rossie Church, Cross-slab","Cross Slab (Pictish), Pictish Symbol Stone (Pictish)",329150,730800,PERTH AND KINROSS,PERTHSHIRE,INCHTURE,NO 2915 3080,http://canmore.org.uk/site/73071
317886,NH92NE 31,Finlanrig,Pictish Symbol Stone (Pictish),299113,825386,HIGHLAND,MORAYSHIRE,"CROMDALE, INVERALLAN AND ADVIE",NH 99113 25386,http://canmore.org.uk/site/317886
318420,NJ94NE 52,"Old Deer, Deer Abbey","Cross Incised Stone (Pictish), Pictish Symbol Stone (Pictish)",396855,848107,ABERDEENSHIRE,ABERDEENSHIRE,OLD DEER,NJ 96855 48107,http://canmore.org.uk/site/318420
34684,NO54NW 3,Dunnichen,Pictish Symbol Stone (7th Century),351600,749600,ANGUS,ANGUS,DUNNICHEN,NO 516 496,http://canmore.org.uk/site/34684
139356,NJ02SW 36,Ballintomb,Pictish Symbol Stone (Pictish),300000,824000,HIGHLAND,MORAYSHIRE,"CROMDALE, INVERALLAN AND ADVIE",NJ 00 24,http://canmore.org.uk/site/139356
139359,NH92NE 32,Finlarig,Pictish Symbol Stone (Pictish),299466,825352,HIGHLAND,MORAYSHIRE,"CROMDALE, INVERALLAN AND ADVIE",NH 99466 25352,http://canmore.org.uk/site/139359
